ID,Class,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30
157,1,V2,V10,V1,V0,V2,V3,V2,V2,B,A,C,A,,T,0,1,1,12,,14,559,96298,1,12,755,4,4,38,2,1
158,1,V0,V10,V2,V1,V1,V2,V2,V0,B,A,C,B,,T,1,1,1,12,,9,1339,115571,1,12,1411,2,2,31,1,1
159,1,V4,V1,V1,V0,V2,V3,V2,V4,D,A,C,D,,T,0,1,1,24,,18,977,121858,1,24,2425,4,4,53,2,1
160,0,V1,V4,V2,V2,V4,V2,V3,V1,A,A,C,C,,T,0,1,1,18,,5,366,77436,2,18,1443,4,4,32,2,1
161,1,V4,V6,V1,V0,V3,V4,V2,V4,D,C,A,B,,T,0,1,1,48,,14,1111,46726,2,48,7630,4,2,46,2,1
162,1,V2,V1,V1,V1,V3,V3,V2,V2,D,B,C,C,,T,0,1,1,12,,6,661,120199,1,12,887,4,2,21,1,1
163,1,V4,V1,V2,V2,V3,V3,V2,V4,D,D,C,D,,T,1,1,1,24,,12,349,141518,1,24,1852,4,2,33,2,3
164,1,V2,V4,V2,V2,V3,V3,V2,V2,B,A,C,D,,T,0,1,1,12,,15,398,94949,1,12,6079,2,2,32,1,1
165,1,V4,V3,V2,V0,V4,V3,V2,V4,B,A,C,C,,T,1,1,1,18,,4,2210,57392,1,18,6362,2,1,41,1,1
166,1,V4,V4,V2,V1,V1,V3,V2,V4,D,A,C,B,,T,0,1,1,9,,8,1746,148747,1,9,1225,3,1,30,2,1
167,1,V2,V1,V2,V4,V1,V3,V2,V2,A,D,C,B,,T,0,2,1,15,,8,1006,50126,1,15,1054,4,2,27,1,1
168,1,V2,V3,V2,V4,V3,V3,V1,V2,A,B,C,B,,T,0,1,1,12,,11,937,50961,1,12,1859,4,1,22,1,1
169,1,V2,V5,V2,V2,V3,V3,V2,V2,D,A,C,C,,T,0,1,1,15,,12,1201,101438,1,15,3030,2,2,33,1,1
170,1,V2,V7,V2,V4,V1,V3,V1,V2,D,B,C,A,,T,1,1,1,9,,8,1908,84865,1,9,1237,1,4,23,1,1
171,1,V4,V4,V3,V2,V3,V4,V2,V4,B,C,C,D,Y,T,1,1,1,12,23,9,727,51801,1,12,2367,3,3,36,1,1
172,1,V4,V4,V2,V3,V3,V1,V3,V4,B,A,C,D,X,T,1,1,1,16,,8,-380,91343,1,16,1176,2,3,68,3,1
173,1,V3,V4,V2,V1,V1,V2,V2,V3,A,A,C,A,,T,0,1,1,12,,0,1086,104931,2,12,1345,4,2,43,2,1
174,1,V2,V1,V4,V4,V3,V3,V2,V2,A,B,A,C,,T,0,1,1,21,,14,1298,72012,1,21,3358,4,2,29,1,1
175,1,V2,V4,V2,V1,V2,V3,V1,V2,D,A,C,B,,T,0,1,1,6,,7,1503,134322,1,6,3519,2,3,26,1,3
176,1,V4,V1,V1,V0,V2,V2,V2,V4,C,A,B,B,,T,0,1,1,30,,10,1264,81234,1,30,3657,4,4,49,2,1
177,0,V2,V1,V2,V1,V1,V3,V2,V2,A,B,C,D,X,T,1,1,1,21,,14,463,17744,1,21,1836,3,2,25,2,1
178,1,V2,V3,V3,V0,V2,V3,V2,V2,D,A,C,D,,T,0,1,1,24,,4,933,109992,1,24,2836,3,4,53,1,1
179,1,V2,V1,V2,V0,V1,V4,V2,V2,D,A,C,A,,T,1,1,1,24,,15,855,50243,1,24,1279,4,1,36,1,1
180,1,V2,V1,V1,V4,V2,V3,V2,V2,B,A,C,C,,T,0,1,1,15,,15,1284,131673,1,15,1445,4,1,23,1,1
181,1,V2,V5,V1,V1,V2,V3,V2,V2,D,A,C,A,X,T,1,1,1,18,,15,1347,104271,1,18,3379,2,1,31,1,1
182,1,V2,V3,V4,V1,V1,V3,V2,V2,D,C,C,A,,T,0,1,1,6,49,12,1109,161446,1,6,1544,4,2,33,1,1
183,1,V2,V4,V2,V0,V3,V4,V2,V2,C,B,C,C,,T,0,1,1,18,,9,755,124490,1,18,1962,3,2,23,1,1
184,1,V2,V1,V2,V1,V3,V3,V2,V2,A,B,A,C,,T,0,1,1,12,,8,1460,108308,1,12,1499,4,1,23,1,1
185,1,V4,V1,V1,V0,V1,V3,V2,V4,D,A,C,A,,T,0,1,1,12,,5,699,32651,1,12,931,4,4,65,4,1
186,0,V1,V3,V3,V4,V4,V3,V3,V1,A,A,C,A,,T,1,1,1,24,,12,1165,114732,2,24,3350,4,4,30,1,1
187,1,V2,V5,V1,V4,V3,V3,V1,V2,D,D,C,D,X,T,1,1,1,12,,11,1306,140677,1,12,2446,2,4,26,1,1
188,1,V1,V5,V1,V4,V1,V3,V1,V1,D,A,A,B,,T,1,1,1,28,,13,381,66177,2,28,7825,3,4,40,2,3
189,1,V4,V1,V5,V3,V1,V2,V2,V4,D,B,C,B,,T,0,1,1,11,3,8,843,36857,1,11,1155,4,4,57,3,1
190,0,V4,V1,V2,V1,V3,V3,V2,V4,B,D,C,D,,T,0,1,1,18,,13,361,53061,1,18,1246,4,2,33,1,1
191,1,V4,V5,V2,V3,V3,V4,V2,V4,B,A,C,B,,T,1,1,1,12,,10,1686,104423,1,12,1861,4,2,34,2,1
192,1,V2,V7,V2,V4,V1,V3,V2,V2,A,B,C,C,,T,0,1,1,6,,13,1666,82431,1,6,344,4,1,27,1,1
193,1,V0,V3,V2,V1,V3,V3,V2,V0,B,B,A,A,,T,1,1,1,18,,11,1290,126712,1,18,3245,1,4,33,2,1
194,1,V4,V4,V2,V2,V1,V2,V2,V4,A,A,C,B,,T,0,2,1,8,,3,2110,157630,1,8,3399,1,4,39,2,1
195,1,V2,V4,V1,V3,V1,V1,V1,V2,B,B,C,D,,T,0,1,1,12,,13,1165,130860,1,12,7473,1,2,24,1,1
196,0,V4,V4,V2,V0,V2,V3,V1,V4,A,A,A,C,X,T,1,1,1,16,48,8,1155,107308,1,16,2626,2,4,43,1,3
197,0,V0,V6,V2,V0,V4,V4,V3,V0,B,A,C,B,,T,1,1,1,36,,11,1611,82731,1,36,1954,4,4,61,1,1
198,1,V2,V6,V2,V1,V2,V2,V2,V2,A,B,C,B,,T,0,1,1,15,,8,867,93924,1,15,807,4,4,22,1,1
199,1,V2,V1,V2,V1,V1,V3,V2,V2,B,A,C,D,,T,0,1,1,9,,3,1332,67348,1,9,459,4,3,24,1,1
200,0,V0,V1,V2,V4,V3,V4,V2,V0,C,A,C,A,,T,1,1,1,9,,2,1074,62210,1,9,1338,4,2,34,2,1
201,0,V1,V9,V1,V0,V3,V4,V2,V1,A,A,B,D,,T,1,1,1,24,,12,1398,36705,1,24,1359,4,3,40,1,1
202,1,V2,V6,V2,V4,V1,V3,V2,V2,B,D,C,B,,T,1,1,1,8,,7,696,100908,1,8,908,3,2,26,1,1
203,1,V2,V1,V2,V4,V4,V4,V2,V2,B,B,C,A,,T,1,1,1,36,,8,744,94967,1,36,4796,4,1,30,1,1
204,1,V2,V6,V1,V0,V2,V3,V2,V2,D,A,C,C,X,T,0,1,1,36,,11,1198,58129,1,36,7410,3,2,37,2,1
205,1,V3,V5,V2,V1,V1,V3,V1,V3,D,D,C,C,,T,0,1,1,12,,5,838,103042,1,12,1504,4,4,41,1,1
206,0,V2,V3,V1,V0,V2,V3,V2,V2,B,B,A,A,,T,1,1,1,12,5,10,1319,43433,1,12,2763,1,2,25,1,1
207,1,V4,V6,V2,V1,V1,V3,V2,V4,D,B,C,A,,T,0,1,1,12,,9,827,160741,1,12,1186,3,2,27,2,1
208,0,V3,V2,V2,V4,V2,V3,V2,V3,A,A,C,C,,T,0,1,1,21,,16,1462,109879,1,21,3415,2,1,26,2,1
209,1,V2,V3,V1,V4,V2,V3,V2,V2,A,B,C,A,,T,1,2,1,24,,8,926,90198,1,24,7722,1,2,30,1,1
210,1,V2,V4,V2,V4,V2,V3,V2,V2,B,A,C,B,,T,0,1,1,24,,14,990,110233,1,24,1202,4,1,26,1,1
211,1,V4,V5,V1,V2,V2,V3,V2,V4,D,A,C,C,,T,1,1,1,24,,8,527,137529,1,24,4043,3,4,43,2,1
212,1,V4,V1,V2,V0,V1,V2,V2,V4,D,A,C,C,X,T,1,1,1,12,,13,1115,132303,1,12,1656,2,4,63,2,1
213,1,V3,V6,V2,V1,V3,V3,V2,V3,D,B,C,B,,T,1,1,1,33,,10,1195,132438,1,33,2765,2,2,26,2,1
214,0,V2,V1,V2,V4,V2,V3,V1,V2,A,B,C,A,,T,0,1,1,9,,12,919,91469,1,9,1367,3,4,22,1,1
215,1,V4,V4,V5,V2,V3,V3,V2,V4,D,B,C,B,,T,1,1,1,12,12,6,301,93706,1,12,683,4,3,51,2,1
216,0,V4,V4,V3,V1,V4,V3,V3,V4,D,A,A,A,,T,0,1,1,48,,10,612,133570,1,48,10128,2,2,44,1,1
217,1,V2,V1,V3,V0,V3,V3,V2,V2,D,A,C,A,,T,0,1,1,22,,9,1321,41656,1,22,2676,3,4,40,1,1
218,1,V2,V1,V2,V1,V2,V3,V2,V2,D,A,C,B,,T,1,2,1,10,,12,623,99257,1,10,1925,1,4,38,1,1
219,1,V4,V1,V2,V0,V1,V3,V2,V4,D,A,C,C,,T,0,1,1,12,,2,927,81190,1,12,718,4,4,52,3,1
220,1,V2,V6,V4,V0,V1,V2,V2,V2,D,B,A,A,,T,0,1,1,21,,16,733,66595,1,21,1573,4,4,36,1,1
221,1,V2,V5,V4,V2,V2,V3,V2,V2,D,A,C,C,,T,0,2,1,12,,12,1354,68202,1,12,1414,3,2,55,1,1
222,0,V2,V5,V2,V1,V3,V4,V1,V2,B,B,C,C,,T,0,1,1,24,,11,1038,148260,1,24,11561,1,4,23,2,1
223,1,V4,V1,V2,V0,V1,V3,V2,V4,D,D,C,A,,T,0,1,1,24,,0,927,30323,1,24,2612,4,3,46,2,2
224,1,V4,V1,V2,V0,V1,V2,V1,V4,B,B,A,B,,T,1,1,1,18,,19,295,23918,1,18,1796,3,4,48,2,3
225,0,V1,V4,V1,V1,V2,V2,V2,V1,A,A,C,B,,T,0,1,1,21,,9,781,60975,2,21,1648,4,2,40,2,1
226,1,V4,V6,V1,V0,V1,V3,V2,V4,D,A,C,A,,T,0,1,1,36,,19,1590,65585,1,36,6305,4,4,36,2,1
227,1,V1,V10,V2,V0,V3,V2,V2,V1,A,D,A,B,,T,0,1,1,12,,10,609,86401,1,12,340,4,1,45,1,1
228,0,V2,V2,V5,V1,V4,V3,V3,V2,B,A,C,A,,T,1,1,1,36,83,9,49,92659,2,36,12613,1,4,47,1,1
229,0,V0,V9,V2,V1,V2,V4,V2,V0,B,B,A,D,,T,1,2,1,48,,7,2244,109235,1,48,18425,1,2,32,1,1
230,1,V4,V4,V3,V3,V4,V1,V3,V4,C,A,A,D,,T,0,1,1,12,,4,308,85363,1,12,1481,2,4,66,3,1
231,0,V2,V1,V1,V4,V3,V3,V2,V2,D,B,C,B,,T,1,1,1,24,,7,836,100725,1,24,5944,1,1,44,2,1
232,0,V2,V4,V2,V4,V1,V2,V2,V2,A,A,C,A,,T,0,1,1,12,,6,672,104217,2,12,2580,4,1,33,1,1
233,0,V4,V3,V2,V4,V1,V2,V2,V4,B,A,C,B,,T,0,1,1,18,,9,1712,61560,1,18,1929,2,2,31,2,1
234,1,V2,V3,V3,V1,V3,V3,V1,V2,D,B,C,A,,T,0,1,1,15,,5,89,182905,1,15,2222,2,4,20,1,1
235,1,V2,V3,V2,V2,V2,V3,V3,V2,A,A,C,C,,T,0,1,1,42,,12,591,95518,2,42,7883,2,4,45,1,3
236,1,V4,V3,V2,V1,V2,V3,V2,V4,A,C,C,A,,T,0,1,1,15,,11,914,40725,1,15,976,2,3,25,2,1
237,1,V2,V1,V2,V1,V3,V3,V2,V2,C,A,C,A,,T,0,1,1,36,,13,661,111503,1,36,5849,4,1,24,1,1
238,1,V2,V3,V2,V3,V2,V4,V2,V2,A,A,C,C,,T,1,1,1,36,,14,853,76778,1,36,3960,4,3,30,1,1
239,1,V4,V3,V2,V3,V4,V4,V3,V4,A,A,C,C,,T,1,1,1,6,,15,771,71944,1,6,1873,4,4,36,3,1
240,0,V1,V6,V2,V0,V4,V3,V1,V1,B,B,C,B,,T,0,1,1,48,,6,1785,360,1,48,6417,4,3,59,1,1
241,0,V1,V4,V5,V4,V2,V2,V2,V1,B,B,B,A,X,T,0,1,1,6,,8,727,167394,1,6,932,1,1,32,1,1
242,0,V2,V4,V2,V1,V2,V2,V1,V2,B,B,C,D,,T,1,1,1,24,,10,996,92620,1,24,2719,3,4,20,1,1
243,0,V1,V3,V2,V1,V3,V3,V2,V1,A,A,A,B,,T,0,1,1,18,,13,1132,55330,1,18,1554,4,3,44,1,1
244,0,V2,V4,V2,V1,V3,V2,V2,V2,A,A,C,B,,T,0,1,1,28,,18,1355,132284,1,28,4007,3,2,45,1,1
245,0,V2,V8,V2,V4,V1,V3,V2,V2,D,B,C,A,,T,0,1,1,18,,23,213,114288,1,18,1944,4,4,23,1,1
246,1,V4,V3,V2,V1,V4,V3,V3,V4,D,A,C,C,,T,1,1,1,15,45,6,1293,119592,1,15,3344,4,2,28,1,1
247,1,V4,V4,V2,V1,V1,V1,V2,V4,C,A,C,A,,T,0,2,1,6,,9,1329,119186,2,6,1300,1,1,74,3,1
248,1,V4,V3,V2,V2,V2,V3,V2,V4,D,A,C,A,,T,0,1,1,24,,15,884,81052,1,24,1586,4,3,40,2,1
249,0,V2,V3,V2,V3,V3,V4,V2,V2,D,B,C,B,,T,1,1,1,36,,10,643,88047,1,36,10975,4,2,26,2,1
250,0,V4,V1,V1,V0,V2,V2,V2,V4,D,B,A,B,,T,0,1,1,12,,11,449,160399,2,12,798,4,3,33,1,1
251,1,V2,V4,V2,V1,V1,V2,V2,V2,D,A,C,B,,T,0,2,1,10,,8,578,116921,2,10,1547,3,2,31,1,1
252,1,V4,V1,V5,V0,V2,V3,V2,V4,D,A,A,C,,T,0,1,1,24,,18,1082,31229,1,24,2224,4,4,52,2,1
253,1,V4,V3,V2,V1,V2,V3,V1,V4,A,B,C,A,,T,0,1,1,15,,22,1878,124753,1,15,1434,4,3,25,2,1
254,0,V2,V4,V1,V1,V4,V3,V3,V2,B,A,C,C,,T,1,1,1,36,,11,1210,198687,1,36,12390,1,4,37,1,1
255,1,V2,V5,V1,V3,V1,V4,V2,V2,B,C,C,B,,T,1,1,1,20,,13,748,13158,1,20,6469,1,4,60,1,1
256,0,V4,V1,V2,V2,V1,V3,V2,V4,B,A,C,B,,T,0,1,1,39,,13,1281,135446,1,39,4934,2,2,25,2,3
257,1,V2,V4,V2,V0,V4,V3,V3,V2,D,B,C,B,,T,1,1,1,24,,7,1192,85712,1,24,3758,4,4,62,1,2
258,1,V4,V3,V1,V2,V2,V4,V2,V4,A,A,C,A,,T,1,1,1,39,,13,1492,71718,1,39,14180,4,4,30,2,1
259,0,V2,V4,V3,V1,V2,V3,V2,V2,D,B,C,C,,T,0,1,1,12,,10,1550,115025,1,12,1387,2,2,26,1,1
260,0,V2,V6,V2,V1,V3,V3,V2,V2,B,A,C,B,,T,1,1,1,27,,8,801,79727,2,27,3916,4,2,,1,1
261,0,V2,V5,V2,V1,V2,V3,V2,V2,A,A,C,B,,T,0,1,1,36,8,10,1014,160444,2,36,8230,2,2,26,1,1
262,1,V2,V1,V2,V0,V3,V3,V2,V2,B,B,C,A,,T,1,1,1,24,,8,1093,97512,1,24,1968,4,4,20,1,1
263,1,V4,V1,V1,V0,V4,V3,V3,V4,D,A,C,B,,T,0,1,1,6,,12,1200,124897,1,6,701,4,4,36,2,1
264,1,V2,V3,V2,V4,V3,V3,V2,V2,C,B,C,D,,T,0,1,1,24,,11,1566,126859,1,24,3750,2,4,26,1,1
265,1,V2,V1,V2,V4,V1,V2,V2,V2,B,D,C,D,,T,0,2,1,6,,19,786,88232,1,6,591,3,3,26,1,1
266,1,V2,V1,V2,V4,V2,V3,V2,V2,D,B,C,B,,T,1,1,1,24,,7,721,120618,1,24,3182,4,4,26,1,1
267,0,V2,V3,V2,V4,V3,V3,V1,V2,D,B,C,C,,T,0,1,1,9,,8,1531,122139,1,9,1981,2,2,19,2,2
268,1,V2,V1,V2,V4,V2,V2,V2,V2,B,B,C,D,,T,0,1,1,13,,4,772,49840,1,13,2102,2,4,23,1,3
269,0,V2,V3,V2,V1,V1,V3,V2,V2,B,B,C,C,,T,0,1,1,8,,3,1143,86785,1,8,1238,3,4,24,1,1
270,0,V3,V4,V2,V3,V1,V3,V3,V3,A,A,C,B,,T,0,1,1,24,,12,772,126545,2,24,1334,4,2,43,2,1
271,1,V0,V5,V5,V0,V3,V3,V2,V0,B,D,A,B,,T,1,1,1,20,,7,1250,142943,1,20,6149,3,4,31,2,1
272,1,V2,V1,V2,V4,V3,V4,V1,V2,B,D,C,A,,T,1,1,1,6,,2,1383,69989,1,6,2064,4,3,30,1,1
273,1,V2,V4,V2,V1,V3,V3,V1,V2,A,B,C,D,,T,0,1,1,15,,11,761,92390,1,15,1404,2,4,28,1,1
274,0,V2,V4,V2,V0,V2,V4,V2,V2,A,C,C,C,,T,1,2,1,14,,4,630,82790,1,14,8979,1,4,45,1,1
275,0,V3,V6,V2,V2,V3,V3,V2,V3,A,A,C,C,,T,1,1,1,36,,11,1084,22869,1,36,2146,2,1,24,2,1
276,1,V2,V1,V2,V1,V3,V3,V2,V2,,A,C,C,,T,1,1,1,12,,11,1899,95033,1,12,3078,2,4,52,1,1
277,1,V2,V1,V2,V2,V1,V3,V2,V2,A,A,C,B,,T,0,1,1,9,,13,1500,85212,1,9,1365,3,4,59,1,1
278,0,V3,V1,V2,V2,V2,V3,V2,V3,A,A,A,A,,T,1,1,1,42,,13,693,107770,2,42,4371,3,2,26,2,1
279,0,V2,V3,V2,V1,V3,V3,V2,V2,B,B,C,D,,T,0,2,1,9,,12,1040,73744,1,9,960,1,2,29,1,1
280,1,V2,V1,V5,V4,V3,V3,V2,V2,B,A,C,B,,T,0,1,1,24,,5,383,135569,1,24,2897,2,1,29,1,1
281,0,V2,V4,V1,V1,V2,V2,V2,V2,D,A,C,D,,T,0,1,1,10,,13,988,4030,1,10,1310,4,4,27,1,3
282,0,V2,V1,V2,V3,V3,V4,V2,V2,A,A,B,C,Y,T,0,1,1,24,69,10,1148,111390,2,24,1824,4,2,30,1,1
283,1,V2,V5,V1,V0,V4,V3,V3,V2,B,A,A,D,,T,1,1,1,24,,5,938,119900,1,24,2761,4,4,36,1,1
284,1,V4,V1,V4,V1,V1,V2,V2,V4,D,B,C,B,,T,0,1,1,24,,6,1055,118397,1,24,1517,4,1,43,2,1
285,1,V2,V5,V1,V1,V4,V3,V3,V2,D,C,C,A,,T,1,1,1,24,,9,1364,203403,1,24,9278,2,4,48,1,1
286,1,V4,V5,V1,V1,V2,V4,V2,V4,D,A,C,A,,T,1,1,1,24,,14,756,157281,2,24,6843,2,4,46,2,1
287,0,V2,V4,V2,V1,V2,V3,V2,V2,A,B,C,C,,T,1,1,1,15,,8,899,47337,1,15,3960,3,2,29,1,1
288,1,V2,V4,V2,V1,V1,V3,V2,V2,D,D,C,C,,T,1,1,1,12,,14,1792,48742,1,12,1102,3,2,27,2,1
289,0,V4,V3,V2,V4,V4,V2,V1,V4,A,B,C,D,,T,1,1,1,36,,8,967,60015,1,36,6230,4,4,23,2,2
290,1,V4,V1,V2,V4,V1,V3,V2,V4,B,A,C,A,,T,0,1,1,13,,7,1331,123209,1,13,883,4,4,23,2,3
291,1,V3,V1,V3,V2,V3,V4,V2,V3,D,A,C,C,,T,1,1,1,48,,5,1120,119021,1,48,12750,4,1,37,1,1
292,1,V2,V3,V1,V1,V2,V2,V2,V2,B,B,C,D,,T,1,1,1,24,,4,1554,62133,1,24,4352,1,4,48,1,1
293,0,V2,V9,V2,V1,V3,V4,V2,V2,B,A,A,A,,T,1,1,1,24,,11,1572,124082,1,24,11329,2,3,29,2,2
294,1,V2,V4,V1,V0,V3,V3,V2,V2,D,A,C,B,,T,1,1,1,12,,9,1396,161924,1,12,2391,4,3,50,1,1
295,1,V4,V3,V2,V2,V2,V2,V2,V4,D,A,C,B,Y,T,0,1,1,24,,8,1191,123532,1,24,2029,2,2,30,2,1
296,1,V4,V4,V2,V1,V1,V3,V2,V4,D,B,C,B,,T,0,1,1,18,,7,1270,174914,1,18,1029,4,3,36,2,1
297,1,V2,V6,V2,V4,V2,V3,V2,V2,B,B,C,A,,T,1,1,1,27,,14,907,138205,2,27,2529,4,1,32,1,1
298,0,V2,V4,V2,V4,V3,V2,V2,V2,A,B,C,C,,T,0,1,1,18,,14,1608,76990,1,18,977,1,2,23,1,1
299,1,V2,V3,V2,V0,V1,V3,V2,V2,D,A,C,A,,T,0,1,1,21,,12,1427,80937,1,21,2242,4,2,50,2,1
300,1,V0,V5,V1,V1,V2,V2,V2,V0,D,A,C,C,,T,0,1,1,54,,13,354,135098,2,54,9437,2,2,39,1,1
301,1,V2,V1,V2,V4,V3,V3,V2,V2,D,B,B,B,X,T,1,1,1,24,,9,957,126091,1,24,1534,4,3,38,1,1
302,1,V2,V1,V1,V2,V2,V3,V1,V2,D,D,C,D,,T,1,1,1,42,,5,1738,62713,1,42,7167,2,4,29,1,1
303,1,V4,V5,V5,V2,V3,V3,V1,V4,A,D,C,D,,T,0,1,1,30,,12,572,119273,1,30,6188,1,4,24,2,1
304,1,V4,V1,V2,V0,V1,V3,V1,V4,D,D,C,C,,T,0,1,1,6,,18,672,78317,1,6,1741,2,2,30,2,1
305,1,V2,V4,V1,V4,V1,V1,V2,V2,B,A,C,C,Y,T,0,1,1,9,,5,1110,147000,1,9,1550,4,2,35,1,1
306,1,V1,V1,V5,V0,V3,V2,V2,V1,D,A,A,D,,T,0,1,1,15,,15,810,105040,2,15,1570,4,4,34,1,1
307,0,V1,V9,V5,V0,V4,V4,V3,V1,B,B,A,C,,T,1,1,1,60,,8,798,171148,1,60,14783,3,4,60,2,1
308,1,V4,V1,V2,V1,V1,V2,V2,V4,B,B,C,C,,T,0,1,1,12,,20,1967,113129,1,12,3574,1,1,23,1,1
309,0,V4,V2,V2,V4,V3,V3,V1,V4,C,C,C,D,,T,0,1,1,21,,6,472,112821,1,21,2320,2,1,33,1,1
310,0,V2,V1,V2,V0,V1,V2,V2,V2,A,A,B,A,X,T,0,1,1,12,,8,1033,169182,1,12,710,4,4,57,1,1
311,1,V3,V5,V2,V0,V3,V4,V2,V3,B,A,C,B,,T,1,1,1,27,,7,988,42082,1,27,5966,1,2,30,2,1
312,1,V2,V4,V1,V3,V2,V4,V2,V2,A,B,C,A,,T,1,1,1,6,,9,176,91590,1,6,1375,4,3,75,1,1
313,0,V2,V6,V1,V1,V1,V3,V2,V2,D,C,A,A,,T,0,1,1,48,,10,1181,123770,1,48,3915,4,2,38,1,1
